"id","imei","sn","seq","version","mac","wifi","model","build_num","hard_ware","hardware_model","ecid","region","model_num","firmware","mlb_seq","baseband_chipId","baseband_version","bind_count","signin_count","status","type","group"
"20913381","359254064758444","73928bf174ee4d18e09022bc65c07d4e9c3f1d4d","F19PGAABG5MV","9.0","34:12:98:cf:fd:36","34:12:98:cf:fd:1e","iPhone7,2","0","t7000","","","","","","","","","0","1","1","0",""
"20915354","359254060464351","cd7ba245d0a2a2ec36c02e93178368263da34f2e","DNQPD1WAG5MP","9.0.2","cc:29:f5:dc:1e:20","cc:29:f5:dc:1e:4a","iPhone7,2","13A452","t7000","","","","","","","","","0","1","1","0",""
"20915356","354432061977614","80de3559789f8e6bddaeb857a71f04721ce3a634","DNQNH7UPG5MN","9.3.1","78:7e:61:98:20:f5","78:7e:61:98:20:f4","iPhone7,2","13E238","t7000","","","","","","","","","0","1","1","0",""
"20917557","013132006410894","4a63467d837c27e7728477ff8a4c145825ad69f7","DX4J68UUDP0N","9.0","6c:3e:6d:18:00:9c","6c:3e:6d:18:00:9d","iPhone7,2","0","t7000","","","","","","","","","0","1","1","0",""
"20917658","355714071956988","3f99158e1accbbd9c571a7adb3cd6f68838723c6","FK1RD94CGRY7","9.2.1","1c:9e:46:f2:9d:a7","1c:9e:46:f2:9d:a6","iPhone8,1","13D15","s8003","","","","","","","","","0","0","1","0",""
"20918286","990001974319063","f090e02179d711b659e925b56aa14bde23084ef4","DYKNG1GHFML7","9.3.2","5c:8d:4e:f3:3c:67","5c:8d:4e:f3:3c:66","iPhone7,2","13F69","t7000","","","","","","","","","0","1","1","0",""
"20918429","355749070009744","5a547b359e93453fe9cf8bbf0360fa96d6079258","F2NR47RUGRX5","9.3.1","c0:cc:f8:be:28:a6","c0:cc:f8:be:28:b7","iPhone8,2","13E238","s8003","","","","","","","","","0","1","1","0",""
"20918831","352024073357737","a02e6c5859092df838b824b09e404c5ae5578058","F19Q5QZ7G5MP","9.3.1","d0:33:11:56:8a:6d","d0:33:11:56:8a:6c","iPhone7,2","13E238","t7000","","","","","","","","","0","1","1","0",""
"20920375","013354006540112","74dc4df348142512c55d5a5e0f4fa114bd771340","DNQJTW7LDTWD","9.3.1","e8:8d:28:d1:a0:db","e8:8d:28:d1:a0:da","iPhone6,1","13E238","s5l8960x","","","","","","","","","0","1","1","0",""
"20939059","359254062802285","c6bfcf0921a23a0662545161159ed9b820bc50fe","C7JPFSKEG5MQ","9.3.1","10:41:7f:99:58:62","10:41:7f:99:5d:32","iPhone7,2","13E238","t7000","","","","","","","","","0","1","1","0",""
